field_id,year,cdl_code,cdl_name,majority_fraction,coverage_fraction,valid_pixels,total_pixels
STORY-01,2020,1,Corn,0.9315068493150684,1.0,146,146
STORY-01,2021,5,Soybeans,0.9246575342465754,1.0,146,146
STORY-01,2022,1,Corn,0.9246575342465754,1.0,146,146
STORY-01,2023,5,Soybeans,0.9315068493150684,1.0,146,146
STORY-02,2020,1,Corn,0.968141592920354,1.0,565,565
STORY-02,2021,5,Soybeans,0.9610619469026549,1.0,565,565
STORY-02,2022,1,Corn,0.9716814159292035,1.0,565,565
STORY-02,2023,5,Soybeans,0.968141592920354,1.0,565,565
STORY-03,2020,1,Corn,0.5238663484486874,1.0,838,838
STORY-03,2021,5,Soybeans,0.5023866348448688,1.0,838,838
STORY-03,2022,1,Corn,0.5071599045346062,1.0,838,838
STORY-03,2023,1,Corn,0.9797136038186157,1.0,838,838
STORY-04,2020,1,Corn,0.9822485207100592,1.0,169,169
STORY-04,2021,5,Soybeans,0.9704142011834319,1.0,169,169
STORY-04,2022,1,Corn,0.9763313609467456,1.0,169,169
STORY-04,2023,5,Soybeans,0.9822485207100592,1.0,169,169
STORY-05,2020,1,Corn,0.9970414201183432,1.0,338,338
STORY-05,2021,5,Soybeans,1.0,1.0,338,338
STORY-05,2022,1,Corn,1.0,1.0,338,338
STORY-05,2023,5,Soybeans,1.0,1.0,338,338
STORY-06,2020,5,Soybeans,0.9112426035502958,1.0,169,169
STORY-06,2021,1,Corn,0.9289940828402367,1.0,169,169
STORY-06,2022,1,Corn,0.893491124260355,1.0,169,169
STORY-06,2023,5,Soybeans,0.9112426035502958,1.0,169,169
STORY-07,2020,5,Soybeans,0.9795918367346939,1.0,392,392
STORY-07,2021,1,Corn,0.9719387755102041,1.0,392,392
STORY-07,2022,5,Soybeans,0.9719387755102041,1.0,392,392
STORY-07,2023,1,Corn,0.9719387755102041,1.0,392,392
STORY-08,2020,1,Corn,0.9629629629629629,1.0,270,270
STORY-08,2021,5,Soybeans,0.9629629629629629,1.0,270,270
STORY-08,2022,1,Corn,0.9629629629629629,1.0,270,270
STORY-08,2023,5,Soybeans,0.9629629629629629,1.0,270,270
STORY-09,2020,5,Soybeans,0.6666666666666666,1.0,93,93
STORY-09,2021,1,Corn,0.6344086021505376,1.0,93,93
STORY-09,2022,1,Corn,0.6129032258064516,1.0,93,93
STORY-09,2023,5,Soybeans,0.6451612903225806,1.0,93,93
STORY-10,2020,1,Corn,0.9709724238026125,1.0,689,689
STORY-10,2021,5,Soybeans,0.9709724238026125,1.0,689,689
STORY-10,2022,1,Corn,0.9709724238026125,1.0,689,689
STORY-10,2023,5,Soybeans,0.9709724238026125,1.0,689,689
STORY-11,2020,1,Corn,0.5503355704697986,1.0,149,149
STORY-11,2021,5,Soybeans,0.5302013422818792,1.0,149,149
STORY-11,2022,1,Corn,0.3825503355704698,1.0,149,149
STORY-11,2023,5,Soybeans,0.48322147651006714,1.0,149,149
STORY-12,2020,5,Soybeans,0.793002915451895,1.0,343,343
STORY-12,2021,1,Corn,0.8075801749271136,1.0,343,343
STORY-12,2022,1,Corn,0.9008746355685131,1.0,343,343
STORY-12,2023,1,Corn,0.9475218658892128,1.0,343,343
STORY-13,2020,1,Corn,0.610655737704918,1.0,244,244
STORY-13,2021,5,Soybeans,0.5737704918032787,1.0,244,244
STORY-13,2022,1,Corn,0.5655737704918032,1.0,244,244
STORY-13,2023,5,Soybeans,0.5737704918032787,1.0,244,244
STORY-14,2020,5,Soybeans,0.9725609756097561,1.0,328,328
STORY-14,2021,1,Corn,0.9634146341463414,1.0,328,328
STORY-14,2022,5,Soybeans,0.9634146341463414,1.0,328,328
STORY-14,2023,1,Corn,0.9634146341463414,1.0,328,328
STORY-15,2020,5,Soybeans,1.0,1.0,219,219
STORY-15,2021,1,Corn,1.0,1.0,219,219
STORY-15,2022,5,Soybeans,1.0,1.0,219,219
STORY-15,2023,1,Corn,1.0,1.0,219,219
STORY-16,2020,1,Corn,0.9396887159533074,1.0,514,514
STORY-16,2021,5,Soybeans,0.9357976653696498,1.0,514,514
STORY-16,2022,1,Corn,0.9124513618677043,1.0,514,514
STORY-16,2023,1,Corn,0.896887159533074,1.0,514,514
STORY-17,2020,1,Corn,0.9700598802395209,1.0,334,334
STORY-17,2021,5,Soybeans,0.9790419161676647,1.0,334,334
STORY-17,2022,1,Corn,0.9640718562874252,1.0,334,334
STORY-17,2023,5,Soybeans,0.9401197604790419,1.0,334,334
STORY-18,2020,5,Soybeans,0.965,1.0,200,200
STORY-18,2021,1,Corn,0.94,1.0,200,200
STORY-18,2022,5,Soybeans,0.94,1.0,200,200
STORY-18,2023,1,Corn,0.93,1.0,200,200
STORY-19,2020,5,Soybeans,0.9797979797979798,1.0,396,396
STORY-19,2021,1,Corn,0.9696969696969697,1.0,396,396
STORY-19,2022,5,Soybeans,0.9772727272727273,1.0,396,396
STORY-19,2023,1,Corn,0.9671717171717171,1.0,396,396
STORY-20,2020,5,Soybeans,0.9958592132505176,1.0,483,483
