field_id,mukey,musym,muname,overlap_area_m2,field_area_m2,field_fraction
STORY-01,411283,138C2,"Clarion loam, 6 to 10 percent slopes, moderately eroded",8690.241289362026,133019.9531652581,0.06533035896175407
STORY-01,411311,385,"Guckeen clay loam, 1 to 3 percent slopes",4373.915086599058,133019.9531652581,0.0328816465689557
STORY-01,411315,388,"Kossuth silty clay loam, 0 to 2 percent slopes",64042.505524114546,133019.9531652581,0.4814503689123313
STORY-01,411328,52B,"Bode clay loam, 2 to 6 percent slopes",38576.928972886635,133019.9531652581,0.29000858935020346
STORY-01,411347,956,"Harps-Okoboji complex, 0 to 2 percent slopes",17336.36229229149,133019.9531652581,0.13032903620672276
STORY-02,2765547,138B,"Clarion loam, 2 to 6 percent slopes",121756.33940767622,501435.0304176921,0.2428157827470769
STORY-02,2800481,55,"Nicollet clay loam, 1 to 3 percent slopes",36007.340364435084,501435.0304176921,0.07180858571935272
STORY-02,2835032,107,"Webster clay loam, 0 to 2 percent slopes",36429.674212387086,501435.0304176921,0.07265083610541012
STORY-02,411283,138C2,"Clarion loam, 6 to 10 percent slopes, moderately eroded",20482.916507915972,501435.0304176921,0.04084859506296127
STORY-02,411304,253B,"Farrar fine sandy loam, 2 to 5 percent slopes",25941.332939131855,501435.0304176921,0.051734185618270215
STORY-02,411317,41B,"Sparta loamy fine sand, 2 to 5 percent slopes",5610.7235720484205,501435.0304176921,0.011189333077457163
STORY-02,411327,507,"Canisteo clay loam, 0 to 2 percent slopes",50817.16847533273,501435.0304176921,0.10134347501211145
STORY-02,411333,6,"Okoboji silty clay loam, 0 to 1 percent slopes",46971.010650406286,501435.0304176921,0.09367317359395443
STORY-02,411346,95,"Harps clay loam, 0 to 2 percent slopes",136282.9626720473,501435.0304176921,0.2717858833247539
STORY-02,411347,956,"Harps-Okoboji complex, 0 to 2 percent slopes",21135.56161637658,501435.0304176921,0.042150149738782304
STORY-03,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",108789.66765801619,754925.4179636351,0.14410651048347217
STORY-03,2800480,L55,"Nicollet loam, 1 to 3 percent slopes",78719.78356107225,754925.4179636351,0.10427491469742009
STORY-03,2835021,L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",2633.1960101371787,754925.4179636351,0.0034880213958619426
STORY-03,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",21179.33538168028,754925.4179636351,0.028054871220007715
STORY-03,411295,203,"Cylinder loam, 0 to 2 percent slopes",23081.892345089924,754925.4179636351,0.030575063172931585
STORY-03,411305,259,"Biscay clay loam, 0 to 2 percent slopes",304990.9460895622,754925.4179636351,0.4040014269386459
STORY-03,411306,274,"Rolfe silt loam, 0 to 1 percent slopes",4241.501349518183,754925.4179636351,0.0056184375947485946
STORY-03,411332,559,"Talcot clay loam, 32 to 40 inches to sand and gravel, 0 to 2 percent slopes",210107.82625760022,754925.4179636351,0.2783160048105854
STORY-03,411333,6,"Okoboji silty clay loam, 0 to 1 percent slopes",1181.2693110988675,754925.4179636351,0.001564749686512436
STORY-04,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",62030.532163532334,156377.43001791846,0.39667189924034807
STORY-04,2800480,L55,"Nicollet loam, 1 to 3 percent slopes",26360.747818901076,156377.43001791846,0.16857130735477963
STORY-04,2835021,L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",11260.088592980008,156377.43001791846,0.07200584247796996
STORY-04,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",56726.061442502076,156377.43001791846,0.36275095092688336
STORY-05,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",85862.79450526957,310085.4961461386,0.2769003889972453
STORY-05,2800480,L55,"Nicollet loam, 1 to 3 percent slopes",69930.62851061212,310085.4961461386,0.2255204754164151
STORY-05,2835021,L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",61337.438786948915,310085.4961461386,0.19780815145911085
STORY-05,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",92954.6343433122,310085.4961461386,0.2997709841272424
STORY-06,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",45954.659160569754,150139.67064390428,0.30607939236501536
STORY-06,2800480,L55,"Nicollet loam, 1 to 3 percent slopes",37266.96320543617,150139.67064390428,0.24821529876553797
STORY-06,2835021,L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",50510.31110953521,150139.67064390428,0.33642215207287685
STORY-06,2835194,L95,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",3991.352035591537,150139.67064390428,0.02658425996589588
STORY-06,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",12416.385132751328,150139.67064390428,0.08269889683053888
STORY-07,2765547,138B,"Clarion loam, 2 to 6 percent slopes",155392.811356026,359160.32101145986,0.4326558427122795
STORY-07,2800481,55,"Nicollet clay loam, 1 to 3 percent slopes",6638.000530399879,359160.32101145986,0.018481998545123467
